Time,0.5 0.5
542,32.4187
542.5,32.4323
543,32.4458
543.5,32.4594
544,32.4729
544.5,32.4865
545,32.5
545.5,32.5135
546,32.527
546.5,32.5404
547,32.5539
547.5,32.5674
548,32.5808
548.5,32.5943
549,32.6077
549.5,32.6211
550,32.6345
550.5,32.6479
551,32.6613
551.5,32.6747
552,32.6881
552.5,32.7014
553,32.7148
553.5,32.7281
554,32.7414
554.5,32.7548
555,32.7681
555.5,32.7814
556,32.7947
556.5,32.8079
557,32.8212
557.5,32.8345
558,32.8477
558.5,32.8609
559,32.8742
559.5,32.8874
560,32.9006
560.5,32.9138
561,32.927
561.5,32.9401
562,32.9533
562.5,32.9665
563,32.9796
563.5,32.9927
564,33.0059
564.5,33.019
565,33.0321
565.5,33.0452
566,33.0582
566.5,33.0713
567,33.0844
567.5,33.0974
568,33.1105
568.5,33.1235
569,33.1365
569.5,33.1495
570,33.1625
570.5,33.1755
571,33.1885
571.5,33.2015
572,33.2144
572.5,33.2274
573,33.2403
573.5,33.2533
574,33.2662
574.5,33.2791
575,33.292
575.5,33.3049
576,33.3178
576.5,33.3306
577,33.3435
577.5,33.3563
578,33.3692
578.5,33.382
579,33.3948
579.5,33.4076
580,33.4204
580.5,33.4332
581,33.446
581.5,33.4588
582,33.4715
582.5,33.4843
583,33.497
583.5,33.5097
584,33.5224
584.5,33.5351
585,33.5478
585.5,33.5605
586,33.5732
586.5,33.5859
587,33.5985
587.5,33.6112
588,33.6238
588.5,33.6364
589,33.6491
589.5,33.6617
590,33.6743
590.5,33.6869
591,33.6994
591.5,33.712
592,33.7246
592.5,33.7371
593,33.7496
593.5,33.7622
594,33.7747
594.5,33.7872
595,33.7997
595.5,33.8122
596,33.8246
596.5,33.8371
597,33.8496
597.5,33.862
598,33.8745
598.5,33.8869
599,33.8993
599.5,33.9117
600,33.9241
600.5,33.9365
601,33.9489
601.5,33.9612
602,33.9736
602.5,33.9859
603,33.9983
603.5,34.0106
604,34.0229
604.5,34.0352
605,34.0475
605.5,34.0598
606,34.0721
606.5,34.0844
607,34.0966
607.5,34.1089
608,34.1211
608.5,34.1334
609,34.1456
609.5,34.1578
610,34.17
610.5,34.1822
611,34.1944
611.5,34.2065
612,34.2187
612.5,34.2309
613,34.243
613.5,34.2551
614,34.2672
614.5,34.2794
615,34.2915
615.5,34.3036
616,34.3156
616.5,34.3277
617,34.3398
617.5,34.3518
618,34.3639
618.5,34.3759
619,34.3879
619.5,34.4
620,34.412
620.5,34.424
621,34.4359
621.5,34.4479
622,34.4599
622.5,34.4718
623,34.4838
623.5,34.4957
624,34.5077
624.5,34.5196
625,34.5315
625.5,34.5434
626,34.5553
626.5,34.5672
627,34.579
627.5,34.5909
628,34.6027
628.5,34.6146
629,34.6264
629.5,34.6382
630,34.6501
630.5,34.6619
631,34.6737
631.5,34.6854
632,34.6972
632.5,34.709
633,34.7207
633.5,34.7325
634,34.7442
634.5,34.7559
635,34.7677
635.5,34.7794
636,34.7911
636.5,34.8028
637,34.8144
637.5,34.8261
638,34.8378
638.5,34.8494
639,34.8611
639.5,34.8727
640,34.8843
640.5,34.8959
641,34.9075
641.5,34.9191
642,34.9307
642.5,34.9423
643,34.9539
643.5,34.9654
644,34.977
644.5,34.9885
645,35
645.5,35.0116
646,35.0231
646.5,35.0346
647,35.0461
647.5,35.0575
648,35.069
648.5,35.0805
649,35.0919
649.5,35.1034
650,35.1148
650.5,35.1262
651,35.1377
651.5,35.1491
652,35.1605
652.5,35.1719
653,35.1832
653.5,35.1946
654,35.206
654.5,35.2173
655,35.2287
655.5,35.24
656,35.2513
656.5,35.2626
657,35.2739
657.5,35.2852
658,35.2965
658.5,35.3078
659,35.3191
659.5,35.3303
660,35.3416
660.5,35.3528
661,35.3641
661.5,35.3753
662,35.3865
662.5,35.3977
663,35.4089
663.5,35.4201
664,35.4313
664.5,35.4424
665,35.4536
665.5,35.4647
666,35.4759
666.5,35.487
667,35.4981
667.5,35.5092
668,35.5204
668.5,35.5315
669,35.5425
669.5,35.5536
670,35.5647
670.5,35.5757
671,35.5868
671.5,35.5978
672,35.6089
672.5,35.6199
673,35.6309
673.5,35.6419
674,35.6529
674.5,35.6639
675,35.6749
675.5,35.6858
676,35.6968
676.5,35.7078
677,35.7187
677.5,35.7296
678,35.7406
678.5,35.7515
679,35.7624
679.5,35.7733
680,35.7842
680.5,35.795
681,35.8059
681.5,35.8168
682,35.8276
682.5,35.8385
683,35.8493
683.5,35.8601
684,35.8709
684.5,35.8818
685,35.8926
685.5,35.9033
686,35.9141
686.5,35.9249
687,35.9357
687.5,35.9464
688,35.9572
688.5,35.9679
689,35.9786
689.5,35.9894
690,36.0001
690.5,36.0108
691,36.0215
691.5,36.0322
692,36.0428
692.5,36.0535
693,36.0642
693.5,36.0748
694,36.0854
694.5,36.0961
695,36.1067
695.5,36.1173
696,36.1279
696.5,36.1385
697,36.1491
697.5,36.1597
698,36.1703
698.5,36.1808
699,36.1914
699.5,36.2019
700,36.2125
700.5,36.223
701,36.2335
701.5,36.244
702,36.2545
702.5,36.265
703,36.2755
703.5,36.286
704,36.2965
704.5,36.3069
705,36.3174
705.5,36.3278
706,36.3382
706.5,36.3487
707,36.3591
707.5,36.3695
708,36.3799
708.5,36.3903
709,36.4007
709.5,36.411
710,36.4214
710.5,36.4318
711,36.4421
711.5,36.4525
712,36.4628
712.5,36.4731
713,36.4834
713.5,36.4937
714,36.504
714.5,36.5143
715,36.5246
715.5,36.5349
716,36.5451
716.5,36.5554
717,36.5656
717.5,36.5759
718,36.5861
718.5,36.5963
719,36.6065
719.5,36.6168
720,36.6269
720.5,36.6371
721,36.6473
721.5,36.6575
722,36.6677
722.5,36.6778
723,36.688
723.5,36.6981
724,36.7082
724.5,36.7183
725,36.7285
725.5,36.7386
726,36.7487
726.5,36.7588
727,36.7688
727.5,36.7789
728,36.789
728.5,36.799
729,36.8091
729.5,36.8191
730,36.8291
730.5,36.8392
731,36.8492
731.5,36.8592
732,36.8692
732.5,36.8792
733,36.8892
733.5,36.8991
734,36.9091
734.5,36.919
735,36.929
735.5,36.9389
736,36.9489
736.5,36.9588
737,36.9687
737.5,36.9786
738,36.9885
738.5,36.9984
739,37.0083
739.5,37.0182
740,37.028
740.5,37.0379
741,37.0477
741.5,37.0576
742,37.0674
742.5,37.0773
743,37.0871
743.5,37.0969
744,37.1067
744.5,37.1165
745,37.1263
745.5,37.136
746,37.1458
746.5,37.1556
747,37.1653
747.5,37.1751
748,37.1848
748.5,37.1946
749,37.2043
749.5,37.214
750,37.2237
750.5,37.2334
